asset_id,current_path,page,section,current_size,required_size,derived_from_width,aspect_source,aspect_rendered,mime_real,ext_matches,status,action,priority
IMG-001,assets/t1/hero.jpg,personal-transformation.html,hero (.sr-tp-hero--photo),2400x1000,2400x1000 (matches declared ratio),declared tracks.js art.hero.ratio 2400/1000,2400/1000 (tracks.js data),"2400/1000 (CSS <1024 breakpoint, saferise-system.css:3008)",image/jpeg,y,KEEP,none,P3
IMG-002,assets/t1/cost.jpg,personal-transformation.html,.sr-tp-costimg (cost section),1600x700,"no change to source needed — fix the CSS wrapper, not the image","1060 (measured live @1280, personal-transformation.html)",declared tracks.js art.cost.ratio 16/7 (source image is exactly 1600x700 = 16:7),"2172/545 (css/saferise-system.css:2581, .sr-tp-costimg — CONFLICTS with the 16/7 the image and slot() both use)",image/jpeg,y,CROP ADJUSTMENT,"fix css/saferise-system.css:2581's .sr-tp-costimg aspect-ratio to 16/7 (or update tracks.js's art.cost.ratio to 2172/545) — confirmed live: outer wrapper renders 1060x266 while the image itself renders 1060x464, clipping 43% of it, reproduced at both 1280 and 390 widths",P1
IMG-003,assets/t1/range.jpg,personal-transformation.html,.sr-tp-rangeimg (range section),1600x600,1600x600 (matches declared ratio),declared tracks.js art.range.ratio 16/6,"16/6 (tracks.js data, source image is exactly 1600x600 = 16:6)","16/6 (img height:auto, no wrapper conflict found)",image/jpeg,y,KEEP,none,P3
IMG-004,assets/t1/change.jpg,personal-transformation.html,.sr-tp-sixwrap (six areas of change section),1600x700,1600x700 (matches declared ratio),declared tracks.js art.change.ratio 16/7,"16/7 (tracks.js data, source image is exactly 1600x700 = 16:7)",16/7 (no wrapper aspect-ratio conflict on .sr-tp-sixwrap),image/jpeg,y,KEEP,none,P3
IMG-005,assets/journey/t1-band.jpg,personal-transformation.html,.sr-tp-band (band/journey section),1400x380,1400x380 (matches declared ratio exactly),declared tracks.js art.band.ratio 1400/380,"1400/380 (tracks.js data, source image is exactly 1400x380)",1400/380 (no wrapper conflict),image/jpeg,y,KEEP,none,P3
IMG-006,assets/t2/hero.jpg,relationship-healing.html,hero (.sr-tp-hero--photo),2400x1000,2400x1000 (matches declared ratio),declared tracks.js art.hero.ratio 2400/1000,2400/1000 (tracks.js data),"2400/1000 (CSS <1024 breakpoint, saferise-system.css:3008)",image/jpeg,y,KEEP,none,P3
IMG-007,assets/t2/cost.jpg,relationship-healing.html,.sr-tp-costimg (cost section),1600x700,"no change to source needed — fix the CSS wrapper, not the image","1060 (measured live @1280, personal-transformation.html)",declared tracks.js art.cost.ratio 16/7 (source image is exactly 1600x700 = 16:7),"2172/545 (css/saferise-system.css:2581, .sr-tp-costimg — CONFLICTS with the 16/7 the image and slot() both use)",image/jpeg,y,CROP ADJUSTMENT,"fix css/saferise-system.css:2581's .sr-tp-costimg aspect-ratio to 16/7 (or update tracks.js's art.cost.ratio to 2172/545) — confirmed live: outer wrapper renders 1060x266 while the image itself renders 1060x464, clipping 43% of it, reproduced at both 1280 and 390 widths",P1
IMG-008,assets/t2/range.jpg,relationship-healing.html,.sr-tp-rangeimg (range section),1600x600,1600x600 (matches declared ratio),declared tracks.js art.range.ratio 16/6,"16/6 (tracks.js data, source image is exactly 1600x600 = 16:6)","16/6 (img height:auto, no wrapper conflict found)",image/jpeg,y,KEEP,none,P3
IMG-009,assets/t2/change.jpg,relationship-healing.html,.sr-tp-sixwrap (six areas of change section),1600x700,1600x700 (matches declared ratio),declared tracks.js art.change.ratio 16/7,"16/7 (tracks.js data, source image is exactly 1600x700 = 16:7)",16/7 (no wrapper aspect-ratio conflict on .sr-tp-sixwrap),image/jpeg,y,KEEP,none,P3
IMG-010,assets/journey/t2-band.jpg,relationship-healing.html,.sr-tp-band (band/journey section),1400x380,1400x380 (matches declared ratio exactly),declared tracks.js art.band.ratio 1400/380,"1400/380 (tracks.js data, source image is exactly 1400x380)",1400/380 (no wrapper conflict),image/jpeg,y,KEEP,none,P3
IMG-011,assets/t3/hero.jpg,professional-performance.html,hero (.sr-tp-hero--photo),2400x1000,2400x1000 (matches declared ratio),declared tracks.js art.hero.ratio 2400/1000,2400/1000 (tracks.js data),"2400/1000 (CSS <1024 breakpoint, saferise-system.css:3008)",image/jpeg,y,KEEP,none,P3
IMG-012,assets/t3/cost.jpg,professional-performance.html,.sr-tp-costimg (cost section),1600x700,"no change to source needed — fix the CSS wrapper, not the image","1060 (measured live @1280, personal-transformation.html)",declared tracks.js art.cost.ratio 16/7 (source image is exactly 1600x700 = 16:7),"2172/545 (css/saferise-system.css:2581, .sr-tp-costimg — CONFLICTS with the 16/7 the image and slot() both use)",image/jpeg,y,CROP ADJUSTMENT,"fix css/saferise-system.css:2581's .sr-tp-costimg aspect-ratio to 16/7 (or update tracks.js's art.cost.ratio to 2172/545) — confirmed live: outer wrapper renders 1060x266 while the image itself renders 1060x464, clipping 43% of it, reproduced at both 1280 and 390 widths",P1
