"id","page","section","file_path","pixels","aspect_ratio","subject","brief","status"
"IMG-001","Personal Transformation","Protocol cover","assets/covers/t1-01.jpg","1086×1448","3:4 portrait","The Anxiety Reset Protocol","Single figure, eyes closed or averted, natural light. Label: Regulate. Number 01 set large, lower right. SAFERISE mark beneath.","NEEDED"
"IMG-002","Personal Transformation","Protocol cover","assets/covers/t1-02.jpg","1086×1448","3:4 portrait","The Anger Alchemy Protocol","Single figure, eyes closed or averted, natural light. Label: Transmute. Number 02 set large, lower right. SAFERISE mark beneath.","NEEDED"
"IMG-003","Personal Transformation","Protocol cover","assets/covers/t1-03.jpg","1086×1448","3:4 portrait","The Overwhelm Threshold Protocol","Single figure, eyes closed or averted, natural light. Label: Reduce Load. Number 03 set large, lower right. SAFERISE mark beneath.","NEEDED"
"IMG-004","Personal Transformation","Protocol cover","assets/covers/t1-04.jpg","1086×1448","3:4 portrait","The Abandonment Wound Protocol","Single figure, eyes closed or averted, natural light. Label: Repair. Number 04 set large, lower right. SAFERISE mark beneath.","NEEDED"
"IMG-005","Personal Transformation","Protocol cover","assets/covers/t1-05.jpg","1086×1448","3:4 portrait","The Shame Dissolution Protocol","Single figure, eyes closed or averted, natural light. Label: Dissolve. Number 05 set large, lower right. SAFERISE mark beneath.","NEEDED"
"IMG-006","Personal Transformation","Protocol cover","assets/covers/t1-06.jpg","1086×1448","3:4 portrait","The Grief Integration Protocol","Single figure, eyes closed or averted, natural light. Label: Integrate. Number 06 set large, lower right. SAFERISE mark beneath.","NEEDED"
"IMG-007","Personal Transformation","Protocol cover","assets/covers/t1-07.jpg","1086×1448","3:4 portrait","The Shutdown Recovery Protocol","Single figure, eyes closed or averted, natural light. Label: Restore. Number 07 set large, lower right. SAFERISE mark beneath.","NEEDED"
"IMG-008","Personal Transformation","Protocol cover","assets/covers/t1-08.jpg","1086×1448","3:4 portrait","The Jealousy Release Protocol","Single figure, eyes closed or averted, natural light. Label: Release. Number 08 set large, lower right. SAFERISE mark beneath.","NEEDED"
"IMG-009","Personal Transformation","Protocol cover","assets/covers/t1-09.jpg","1086×1448","3:4 portrait","The Insecurity Anchor Protocol","Single figure, eyes closed or averted, natural light. Label: Anchor. Number 09 set large, lower right. SAFERISE mark beneath.","NEEDED"
"IMG-010","Personal Transformation","Protocol cover","assets/covers/t1-10.jpg","1086×1448","3:4 portrait","The Powerlessness & Despair Protocol","Single figure, eyes closed or averted, natural light. Label: Reclaim. Number 10 set large, lower right. SAFERISE mark beneath.","NEEDED"
"IMG-011","Relationship Healing","Protocol cover","assets/covers/t2-01.jpg","1086×1448","3:4 portrait","The Safe Conversation Protocol","Single figure, or a pair, eyes closed or averted, natural light. Label: Speak. Number 01 set large, lower right. SAFERISE mark beneath.","DELIVERED"
"IMG-012","Relationship Healing","Protocol cover","assets/covers/t2-02.jpg","1086×1448","3:4 portrait","The Rupture & Repair Protocol","Single figure, or a pair, eyes closed or averted, natural light. Label: Repair. Number 02 set large, lower right. SAFERISE mark beneath.","DELIVERED"
"IMG-013","Relationship Healing","Protocol cover","assets/covers/t2-03.jpg","1086×1448","3:4 portrait","The Trust & Betrayal Protocol","Single figure, or a pair, eyes closed or averted, natural light. Label: Rebuild. Number 03 set large, lower right. SAFERISE mark beneath.","DELIVERED"
"IMG-014","Relationship Healing","Protocol cover","assets/covers/t2-04.jpg","1086×1448","3:4 portrait","The Resentment Release Protocol","Single figure, or a pair, eyes closed or averted, natural light. Label: Release. Number 04 set large, lower right. SAFERISE mark beneath.","DELIVERED"
"IMG-015","Relationship Healing","Protocol cover","assets/covers/t2-05.jpg","1086×1448","3:4 portrait","The Intimacy Barrier Protocol","Single figure, or a pair, eyes closed or averted, natural light. Label: Open. Number 05 set large, lower right. SAFERISE mark beneath.","DELIVERED"
"IMG-016","Relationship Healing","Protocol cover","assets/covers/t2-06.jpg","1086×1448","3:4 portrait","The Double Standard Protocol","Single figure, or a pair, eyes closed or averted, natural light. Label: Level. Number 06 set large, lower right. SAFERISE mark beneath.","DELIVERED"
"IMG-017","Relationship Healing","Protocol cover","assets/covers/t2-07.jpg","1086×1448","3:4 portrait","The Projection Clarity Protocol","Single figure, or a pair, eyes closed or averted, natural light. Label: Clarify. Number 07 set large, lower right. SAFERISE mark beneath.","DELIVERED"
"IMG-018","Relationship Healing","Protocol cover","assets/covers/t2-08.jpg","1086×1448","3:4 portrait","The Appreciation & Support Protocol","Single figure, or a pair, eyes closed or averted, natural light. Label: Appreciate. Number 08 set large, lower right. SAFERISE mark beneath.","DELIVERED"
"IMG-019","Relationship Healing","Protocol cover","assets/covers/t2-09.jpg","1086×1448","3:4 portrait","The Pursue & Withdraw Protocol","Single figure, or a pair, eyes closed or averted, natural light. Label: Meet. Number 09 set large, lower right. SAFERISE mark beneath.","DELIVERED"
"IMG-020","Relationship Healing","Protocol cover","assets/covers/t2-10.jpg","1086×1448","3:4 portrait","The Conscious Separation Protocol","Single figure, or a pair, eyes closed or averted, natural light. Label: Close. Number 10 set large, lower right. SAFERISE mark beneath.","DELIVERED"
"IMG-021","Professional Performance","Protocol cover","assets/covers/t3-01.jpg","1086×1448","3:4 portrait","The High-Stakes Presence Protocol","Single figure, eyes closed or averted, natural light. Label: Steady. Number 01 set large, lower right. SAFERISE mark beneath.","DELIVERED"
"IMG-022","Professional Performance","Protocol cover","assets/covers/t3-02.jpg","1086×1448","3:4 portrait","The Conflict Navigation Protocol","Single figure, eyes closed or averted, natural light. Label: Navigate. Number 02 set large, lower right. SAFERISE mark beneath.","DELIVERED"
